name,author,content
白雪歌送武判官归京,岑参 〔唐代〕,"
                    北风卷地白草折，胡天八月即飞雪。
忽如一夜春风来，千树万树梨花开。
散入珠帘湿罗幕，狐裘不暖锦衾薄。
将军角弓不得控，都护铁衣冷难着。(难着 一作：犹著)
瀚海阑干百丈冰，愁云惨淡万里凝。
中军置酒饮归客，胡琴琵琶与羌笛。
纷纷暮雪下辕门，风掣红旗冻不翻。
轮台东门送君去，去时雪满天山路。
山回路转不见君，雪上空留马行处。 
                "
芙蓉楼送辛渐,王昌龄 〔唐代〕,"
                    寒雨连江夜入吴，平明送客楚山孤。
洛阳亲友如相问，一片冰心在玉壶。 
                "
渡荆门送别,李白 〔唐代〕,"
                    渡远荆门外，来从楚国游。
山随平野尽，江入大荒流。
月下飞天镜，云生结海楼。
仍怜故乡水，万里送行舟。 
                "
送元二使安西,王维 〔唐代〕,"
                    渭城朝雨浥轻尘，客舍青青柳色新。
劝君更尽一杯酒，西出阳关无故人。 
                "
赋得古原草送别,白居易 〔唐代〕,"
                    离离原上草，一岁一枯荣。
野火烧不尽，春风吹又生。
远芳侵古道，晴翠接荒城。
又送王孙去，萋萋满别情。 
                "
临江仙·送钱穆父,苏轼 〔宋代〕,"
                    一别都门三改火，天涯踏尽红尘。依然一笑作春温。无波真古井，有节是秋筠。
惆怅孤帆连夜发，送行淡月微云。尊前不用翠眉颦。人生如逆旅，我亦是行人。(尊 通：樽) 
                "
卜算子·送鲍浩然之浙东,王观 〔宋代〕,"
                    水是眼波横，山是眉峰聚。欲问行人去那边？眉眼盈盈处。
才始送春归，又送君归去。若到江南赶上春，千万和春住。 
                "
送别,王维 〔唐代〕,"
                    山中相送罢，日暮掩柴扉。
春草明年绿，王孙归不归？(明年 一作：年年) 
                "
和董传留别,苏轼 〔宋代〕,"
                    粗缯大布裹生涯，腹有诗书气自华。
厌伴老儒烹瓠叶，强随举子踏槐花。
囊空不办寻春马，眼乱行看择婿车。
得意犹堪夸世俗，诏黄新湿字如鸦。 
                "
鹧鸪天·送人,辛弃疾 〔宋代〕,"
                    唱彻《阳关》泪未干，功名馀事且加餐。浮天水送无穷树，带雨云埋一半山。
今古恨，几千般，只应离合是悲欢？江头未是风波恶，别有人间行路难！ 
                "
送柴侍御,王昌龄 〔唐代〕,"
                    沅水通波接武冈，送君不觉有离伤。(沅水 一作：流水)
青山一道同云雨，明月何曾是两乡。 
                "
